Country_Code,Life_Expectancy_At_Birth_1960,Life_Expectancy_At_Birth_2013,Countries_2012_Dataset,Codes_2012_Dataset,Regions_2012_Dataset
ABW,65.5693658536586,75.3286585365854,Aruba,ABW,The Americas
AFG,32.328512195122,60.0282682926829,Afghanistan,AFG,Asia
AGO,32.9848292682927,51.8661707317073,Angola,AGO,Africa
ALB,62.2543658536585,77.537243902439,Albania,ALB,Europe
ARE,52.2432195121951,77.1956341463415,United Arab Emirates,ARE,Middle East
ARG,65.2155365853659,75.9860975609756,Argentina,ARG,The Americas
ARM,65.8634634146342,74.5613658536585,Armenia,ARM,Asia
ATG,61.7827317073171,75.7786585365854,Antigua and Barbuda,ATG,The Americas
AUS,70.8170731707317,82.1975609756098,Australia,AUS,Oceania
AUT,68.5856097560976,80.890243902439,Austria,AUT,Europe
AZE,60.836243902439,70.6931463414634,Azerbaijan,AZE,Asia
BDI,41.2360487804878,56.2516097560976,Burundi,BDI,Africa
BEL,69.7019512195122,80.3853658536585,Belgium,BEL,Europe
BEN,37.2782682926829,59.3120243902439,Benin,BEN,Africa
BFA,34.4779024390244,58.2406341463415,Burkina Faso,BFA,Africa
BGD,45.8293170731707,71.245243902439,Bangladesh,BGD,Asia
BGR,69.2475609756098,74.4658536585366,Bulgaria,BGR,Europe
BHR,52.0893658536585,76.5459512195122,Bahrain,BHR,Middle East
BHS,62.7290487804878,75.0735365853659,"Bahamas, The",BHS,The Americas
BIH,60.2762195121951,76.2769268292683,Bosnia and Herzegovina,BIH,Europe
BLR,67.7080975609756,72.4707317073171,Belarus,BLR,Europe
BLZ,59.9613658536585,69.9820487804878,Belize,BLZ,The Americas
BOL,42.1183170731707,67.9134390243903,Bolivia,BOL,The Americas
BRA,54.2054634146342,74.1224390243903,Brazil,BRA,The Americas
BRB,60.7380487804878,75.3339512195122,Barbados,BRB,The Americas
BRN,62.5003658536585,78.5466585365854,Brunei Darussalam,BRN,Asia
BTN,32.3593658536585,69.1029268292683,Bhutan,BTN,Asia
BWA,50.5477317073171,64.3608048780488,Botswana,BWA,Africa
CAF,36.4826341463415,49.8798780487805,Central African Republic,CAF,Africa
CAN,71.1331707317073,81.4011219512195,Canada,CAN,The Americas
CHE,71.3134146341463,82.7487804878049,Switzerland,CHE,Europe
CHL,57.4582926829268,81.1979268292683,Chile,CHL,The Americas
CHN,43.4658048780488,75.3530243902439,China,CHN,Asia
CIV,36.8724146341463,51.2084634146342,Cote d'Ivoire,CIV,Africa
CMR,41.523756097561,55.0418048780488,Cameroon,CMR,Africa
COG,48.5816341463415,61.6663902439024,"Congo, Rep.",COG,Africa
COL,56.716756097561,73.8097317073171,Colombia,COL,The Americas
COM,41.4424390243903,62.9321707317073,Comoros,COM,Africa
CPV,48.8564146341463,72.9723658536585,Cabo Verde,CPV,Africa
CRI,60.5761951219512,79.2252195121951,Costa Rica,CRI,The Americas
CUB,63.9046585365854,79.2563902439025,Cuba,CUB,The Americas
CYP,69.5939268292683,79.9497804878049,Cyprus,CYP,Europe
CZE,70.3487804878049,78.2780487804878,Czech Republic,CZE,Europe
DEU,69.3129512195122,81.0439024390244,Germany,DEU,Europe
DJI,44.0212682926829,61.6864634146342,Djibouti,DJI,Africa
DNK,72.1765853658537,80.3024390243903,Denmark,DNK,Europe
DOM,51.8452682926829,73.3199024390244,Dominican Republic,DOM,The Americas
DZA,46.1351219512195,74.5689512195122,Algeria,DZA,Africa
ECU,53.215,75.648512195122,Ecuador,ECU,The Americas
EGY,48.0137073170732,70.9257804878049,"Egypt, Arab Rep.",EGY,Africa
ERI,37.3629024390244,63.1778780487805,Eritrea,ERI,Africa
ESP,69.1092682926829,82.4268292682927,Spain,ESP,Europe
EST,67.9059756097561,76.4243902439025,Estonia,EST,Europe
ETH,38.4057073170732,63.4421951219512,Ethiopia,ETH,Africa
FIN,68.819756097561,80.8317073170732,Finland,FIN,Europe
FJI,55.9584878048781,69.9179268292683,Fiji,FJI,Oceania
FRA,69.8682926829268,81.9682926829268,France,FRA,Europe
FSM,57.5865853658537,68.9733902439024,"Micronesia, Fed. Sts.",FSM,Oceania
GAB,39.5701219512195,63.8435853658537,Gabon,GAB,Africa
GBR,71.1268292682927,80.9560975609756,United Kingdom,GBR,Europe
GEO,63.4318536585366,74.079512195122,Georgia,GEO,Asia
GHA,45.8314634146342,61.1420731707317,Ghana,GHA,Africa
GIN,34.8863902439024,58.216487804878,Guinea,GIN,Africa
GMB,32.0422195121951,59.9992682926829,"Gambia, The",GMB,Africa
GNB,37.8404390243902,54.8384146341464,Guinea-Bissau,GNB,Africa
GNQ,36.7330487804878,57.2908292682927,Equatorial Guinea,GNQ,Africa
GRC,68.1639024390244,80.6341463414634,Greece,GRC,Europe
GRD,59.8159268292683,73.1935609756098,Grenada,GRD,The Americas
GTM,45.5316341463415,71.4863902439024,Guatemala,GTM,The Americas
GUM,61.2263414634146,78.872512195122,Guam,GUM,Oceania
GUY,60.2787317073171,66.3100243902439,Guyana,GUY,The Americas
HKG,66.9997073170732,83.8317073170732,"Hong Kong SAR, China",HKG,Asia
HND,46.2883170731707,72.9428536585366,Honduras,HND,The Americas
HRV,64.6086585365854,77.1268292682927,Croatia,HRV,Europe
HTI,42.1000975609756,62.4011463414634,Haiti,HTI,The Americas
HUN,68.0031707317073,75.2682926829268,Hungary,HUN,Europe
IDN,48.6403170731707,68.7046097560976,Indonesia,IDN,Asia
IND,41.1719512195122,67.6604146341463,India,IND,Asia
IRL,69.691756097561,81.0439024390244,Ireland,IRL,Europe
IRN,44.945512195122,75.1259756097561,"Iran, Islamic Rep.",IRN,Middle East
IRQ,48.0306829268293,69.4716829268293,Iraq,IRQ,Middle East
ISL,73.4286585365854,83.1170731707317,Iceland,ISL,Europe
ITA,69.1239024390244,82.290243902439,Italy,ITA,Europe
JAM,64.1918292682927,73.4689268292683,Jamaica,JAM,The Americas
JOR,52.6852682926829,73.9014146341463,Jordan,JOR,Middle East
JPN,67.6660975609756,83.3319512195122,Japan,JPN,Asia
KAZ,58.3675853658537,70.45,Kazakhstan,KAZ,Asia
KEN,46.3624146341463,60.9537804878049,Kenya,KEN,Africa
KGZ,56.1280731707317,70.2024390243902,Kyrgyz Republic,KGZ,Asia
KHM,41.2320243902439,67.7720487804878,Cambodia,KHM,Asia
KIR,49.2159756097561,65.7665853658537,Kiribati,KIR,Oceania
KOR,53.0013170731707,81.459756097561,"Korea, Rep.",KOR,Asia
KWT,60.3479512195122,74.462756097561,Kuwait,KWT,Middle East
LAO,43.2044634146342,65.687243902439,Lao PDR,LAO,Asia
LBN,63.2801219512195,80.1288780487805,Lebanon,LBN,Middle East
LBR,34.7831707317073,60.5203902439024,Liberia,LBR,Africa
LBY,42.6411951219512,71.6576829268293,Libya,LBY,Africa
LCA,57.303756097561,74.9127073170732,St. Lucia,LCA,The Americas
LKA,59.7471463414634,74.2402926829268,Sri Lanka,LKA,Asia
LSO,46.5107073170732,49.3314634146342,Lesotho,LSO,Africa
LTU,69.8473170731707,74.1634146341464,Lithuania,LTU,Europe
LUX,68.4463902439024,81.7975609756098,Luxembourg,LUX,Europe
LVA,69.7868292682927,73.9804878048781,Latvia,LVA,Europe
MAC,64.6609268292683,80.3391463414634,"Macao SAR, China",MAC,Asia
MAR,48.4466341463415,73.7090487804878,Morocco,MAR,Africa
MDA,61.8127804878049,68.811512195122,Moldova,MDA,Europe
MDG,39.9746829268293,64.6739024390244,Madagascar,MDG,Africa
MDV,37.2686341463415,76.6026097560976,Maldives,MDV,Asia
MEX,57.0656341463415,76.5326585365854,Mexico,MEX,The Americas
MKD,60.6228048780488,75.1870487804878,"Macedonia, FYR",MKD,Europe
MLI,28.2116097560976,57.5351951219512,Mali,MLI,Africa
MLT,67.6017804878049,80.7463414634146,Malta,MLT,Europe
MMR,42.7363902439024,65.6540975609756,Myanmar,MMR,Asia
MNE,63.7056097560976,74.7583658536585,Montenegro,MNE,Europe
MNG,48.3688048780488,69.0618048780488,Mongolia,MNG,Asia
MOZ,35.0037073170732,54.641512195122,Mozambique,MOZ,Africa
MRT,43.4830975609756,62.8027073170732,Mauritania,MRT,Africa
MUS,58.7452195121951,74.46,Mauritius,MUS,Africa
MWI,37.7736341463415,61.466,Malawi,MWI,Africa
MYS,59.4753414634146,74.567512195122,Malaysia,MYS,Asia
NAM,46.8803902439024,64.3438780487805,Namibia,NAM,Africa
NCL,58.6390243902439,77.1219512195122,New Caledonia,NCL,Oceania
NER,35.5150487804878,60.8281463414634,Niger,NER,Africa
NGA,37.1829512195122,52.4421463414634,Nigeria,NGA,Africa
NIC,46.9988292682927,74.514756097561,Nicaragua,NIC,The Americas
NLD,73.3926829268293,81.1048780487805,Netherlands,NLD,Europe
NOR,73.549756097561,81.4512195121951,Norway,NOR,Europe
NPL,35.1708292682927,69.222,Nepal,NPL,Asia
